Amharic,English,Occurrences,Example Location,Context,All Locations
ቅንብሮች ተስተካክለዋል,Settings saved,1,src/routes/woreda.settings.woreda-configuration.tsx:276,toast: success,src/routes/woreda.settings.woreda-configuration.tsx:276
በሁኔታ,By residency status,1,src/routes/woreda.reports.index.tsx:353,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:353
በሂደት ላይ,In progress,1,src/lib/serviceConstants.ts:19,string literal,src/lib/serviceConstants.ts:19
በማስገባት ላይ…,Submitting…,1,src/routes/woreda.services.new.tsx:559,string literal,src/routes/woreda.services.new.tsx:559
በስም ወይም ሚና ይፈልጉ,Search name or role…,1,src/components/settings/UsersRolesTab.tsx:320,placeholder,src/components/settings/UsersRolesTab.tsx:320
በስም ወይም በመለያ ቁጥር ይፈልጉ,Search by name or resident #,1,src/components/forms/ResidentSearchPicker.tsx:136,placeholder,src/components/forms/ResidentSearchPicker.tsx:136
በስም ወይም በነዋሪ ቁጥር ይፈልጉ,Search by name or resident number,1,src/routes/woreda.services.new.tsx:366,placeholder,src/routes/woreda.services.new.tsx:366
በስም፣ የመታወቂያ ቁጥር፣ ስልክ ይፈልጉ,"Search by name, ID number, phone…",1,src/routes/woreda.residents.index.tsx:393,placeholder,src/routes/woreda.residents.index.tsx:393
በቀበሌ መኖር የጀመሩበት ጊዜ,Residency Start Date,1,src/components/forms/ResidentWizardSteps.tsx:756,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:756
በቤት ቁጥር ወይም አድራሻ ይፈልጉ,Search by house number or address…,1,src/routes/woreda.households.index.tsx:295,placeholder,src/routes/woreda.households.index.tsx:295
በቤት ቁጥር ይፈልጉ,Search by house number,1,src/components/forms/ResidentWizardSteps.tsx:554,placeholder,src/components/forms/ResidentWizardSteps.tsx:554
በክለሳ ላይ,Under review,1,src/lib/serviceConstants.ts:8,string literal,src/lib/serviceConstants.ts:8
በዚህ ምስል ላይ ምንም QR ኮድ አልተገኘም,No QR code detected in this image,1,src/components/verification/HararildScanner.tsx:217,string literal,src/components/verification/HararildScanner.tsx:217
በጥበቃ ላይ ያሉ,Pending Approvals,1,src/routes/woreda.dashboard.tsx:263,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:263
በጥገና ላይ,Under Maintenance,1,src/hooks/useReportsAggregate.ts:47,string literal,src/hooks/useReportsAggregate.ts:47
በጾታ,By sex,1,src/routes/woreda.reports.index.tsx:351,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:351
ቢሮ,Office,1,src/routes/woreda.credentials.$requestId.certificate.tsx:161,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:161
ቢያንስ 10 ፊደል ያስገቡ,Provide at least 10 characters,1,src/routes/woreda.services.new.tsx:173,string literal,src/routes/woreda.services.new.tsx:173
ባለሙያ,Officer,1,src/components/workflow/WorkflowQueueTable.tsx:235,string literal,src/components/workflow/WorkflowQueueTable.tsx:235
ባዶ,Vacant,1,src/routes/woreda.households.index.tsx:325,string literal,src/routes/woreda.households.index.tsx:325
ቤተሰቡ ተመዝግቧል,Household registered,1,src/routes/woreda.households.new.tsx:126,toast: success,src/routes/woreda.households.new.tsx:126
ቤተሰቡ ተስተካክሏል,Household updated,1,src/routes/woreda.households.$householdId.edit.tsx:195,toast: success,src/routes/woreda.households.$householdId.edit.tsx:195
ቤተሰቡ ኢ-ንቁ ሆኗል,Household set inactive,1,src/routes/woreda.households.index.tsx:588,toast: success,src/routes/woreda.households.index.tsx:588
ቤተሰብ,Household,1,src/components/forms/ResidentWizardSteps.tsx:551,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:551
ቤተሰብ አስተካክል,Edit Household,1,src/routes/woreda.households.$householdId.edit.tsx:225,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.edit.tsx:225
ቤተሰቦች በቀበሌ,Households by kebele,1,src/routes/woreda.reports.index.tsx:360,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:360
ቤቱ በሌላ ተከራይ ተይዟል — መጀመሪያ የተከራይ መተውን ያፀድቁ,House is occupied — approve a vacate first,1,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:315,string literal,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:315
ቤት,House,1,src/routes/woreda.rental-houses.requests.index.tsx:179,string literal,src/routes/woreda.rental-houses.requests.index.tsx:179
ብሔራዊ መታወቂያ (ፋይዳ) ቁጥር,National ID FAN Number,1,src/components/forms/ResidentWizardSteps.tsx:486,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:486
ብሔር ይምረጡ,Select ethnicity,1,src/lib/residentSchema.ts:33,string literal,src/lib/residentSchema.ts:33
ብጁ ሚናዎች,Custom Roles,1,src/routes/woreda.settings.users-permissions.tsx:42,labelAm/labelEn prop pair,src/routes/woreda.settings.users-permissions.tsx:42
ቦታ ላይ ወጣ,Deactivated,1,src/components/settings/CustomRolesTab.tsx:92,toast: success,src/components/settings/CustomRolesTab.tsx:92
ተለዋጭ ኃላፊ,Alternate Head,1,src/routes/woreda.households.$householdId.print.tsx:216,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.print.tsx:216
ተመልሷል (ማጽደቅ),Returned (Approval),1,src/components/credentials/CredentialQueueTable.tsx:103,string literal,src/components/credentials/CredentialQueueTable.tsx:103
ተመልሷል (ማጽደቅ),Returned (approval),1,src/lib/serviceConstants.ts:12,string literal,src/lib/serviceConstants.ts:12
ተመዝግቧል,"Submitted as ${number || entityId.slice(0, 8)}",1,src/lib/offlineSync.ts:168,string literal,src/lib/offlineSync.ts:168
ተመዝግቧል,Registered,1,src/routes/woreda.civil.index.tsx:58,string literal,src/routes/woreda.civil.index.tsx:58
ተመዝግቧል,"Registered, but these documents failed to upload: ${failed.join(",1,src/routes/woreda.rental-houses.occupants.new.tsx:405,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:405
ተሰርዟል,Deleted,1,src/routes/woreda.settings.woreda-configuration.tsx:827,toast: success,src/routes/woreda.settings.woreda-configuration.tsx:827
ተሰጥቷል,Issued,1,src/lib/serviceConstants.ts:17,string literal,src/lib/serviceConstants.ts:17
ተሽሯል,Revoked,1,src/components/credentials/CredentialQueueTable.tsx:109,string literal,src/components/credentials/CredentialQueueTable.tsx:109
ተቀባይነት አላገኘም,Rejected: ${result.message},1,src/components/common/OfflineStatusBar.tsx:37,toast: error,src/components/common/OfflineStatusBar.tsx:37
ተከራይ,Occupant,1,src/routes/woreda.rental-houses.index.tsx:159,string literal,src/routes/woreda.rental-houses.index.tsx:159
ተከራይ,Resident,1,src/routes/woreda.rental-houses.requests.index.tsx:181,string literal,src/routes/woreda.rental-houses.requests.index.tsx:181
ተከራይ በተሳካ ሁኔታ ተመዝግቧል,Occupant registered successfully,1,src/routes/woreda.rental-houses.occupants.new.tsx:408,toast: success,src/routes/woreda.rental-houses.occupants.new.tsx:408
ተከራይ ይምረጡ,Select an occupant,1,src/routes/woreda.rental-houses.$houseId.index.tsx:473,string literal,src/routes/woreda.rental-houses.$houseId.index.tsx:473
ተከሳሽ,Respondent,1,src/routes/woreda.services.$requestId.index.tsx:570,labelAm/labelEn prop pair,src/routes/woreda.services.$requestId.index.tsx:570
ተከሳሽ / አቤቱታ የቀረበበት,Respondent,1,src/routes/woreda.services.new.tsx:431,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:431
ተዘግቷል,Closed,1,src/lib/serviceConstants.ts:21,string literal,src/lib/serviceConstants.ts:21
ተዛውሯል,Transferred,1,src/routes/woreda.households.index.tsx:327,string literal,src/routes/woreda.households.index.tsx:327
ተያዥ,Occupancy,1,src/routes/woreda.rental-houses.index.tsx:158,string literal,src/routes/woreda.rental-houses.index.tsx:158
ተጋቢ 1,Party 1,1,src/routes/woreda.civil.$eventId.tsx:657,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:657
ተጋቢ 1 (የተመዘገበ),Party 1 (registered),1,src/routes/woreda.civil.divorce.new.tsx:222,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:222
ተጋቢ 1 (የተመዘገበ),Spouse 1 (registered),1,src/routes/woreda.civil.marriage.new.tsx:214,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:214
ተጋቢ 1 ስም,Party 1 name (manual),1,src/routes/woreda.civil.divorce.new.tsx:231,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:231
ተጋቢ 1 ስም,Spouse 1 name (manual),1,src/routes/woreda.civil.marriage.new.tsx:223,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:223
ተጋቢ 2,Party 2,1,src/routes/woreda.civil.$eventId.tsx:665,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:665
ተጋቢ 2 (የተመዘገበ),Party 2 (registered),1,src/routes/woreda.civil.divorce.new.tsx:239,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:239
ተጋቢ 2 (የተመዘገበ),Spouse 2 (registered),1,src/routes/woreda.civil.marriage.new.tsx:232,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:232
ተጋቢ 2 ስም,Party 2 name (manual),1,src/routes/woreda.civil.divorce.new.tsx:249,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:249
ተጋቢ 2 ስም,Spouse 2 name (manual),1,src/routes/woreda.civil.marriage.new.tsx:242,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:242
ተጋቢዎች,Parties,1,src/routes/woreda.civil.divorce.new.tsx:220,titleAm/titleEn prop pair,src/routes/woreda.civil.divorce.new.tsx:220
ተጋቢዎች,Spouses,1,src/routes/woreda.civil.marriage.new.tsx:212,titleAm/titleEn prop pair,src/routes/woreda.civil.marriage.new.tsx:212
ተግባር,Action,1,src/routes/woreda.audit.tsx:290,string literal,src/routes/woreda.audit.tsx:290
ተጠቃሚ,Actor,1,src/routes/woreda.audit.tsx:286,string literal,src/routes/woreda.audit.tsx:286
ተጠቃሚው ተመልሷል,User reactivated,1,src/components/admin/PlatformUsersTab.tsx:298,toast: success,src/components/admin/PlatformUsersTab.tsx:298
ተጠቃሚው ተመልሷል,User activated,1,src/components/admin/PlatformUsersTab.tsx:800,toast: success,src/components/admin/PlatformUsersTab.tsx:800
ተጠቃሚዎች እና የስራ ድርሻ,Users & Roles,1,src/routes/woreda.settings.users-permissions.tsx:43,labelAm/labelEn prop pair,src/routes/woreda.settings.users-permissions.tsx:43
ተጠቃሚዎች እና ፈቃዶች,Users and Permissions,1,src/routes/woreda.settings.users-permissions.tsx:34,titleAm/titleEn prop pair,src/routes/woreda.settings.users-permissions.tsx:34
ተጠናቋል,Completed,1,src/lib/serviceConstants.ts:18,string literal,src/lib/serviceConstants.ts:18
ተጨማሪ መረጃ,Additional Info,1,src/routes/woreda.civil.birth.new.tsx:388,titleAm/titleEn prop pair,src/routes/woreda.civil.birth.new.tsx:388
ተፈትቷል,Resolved,1,src/lib/serviceConstants.ts:20,string literal,src/lib/serviceConstants.ts:20
ታትሟል,Printed,1,src/components/credentials/CredentialQueueTable.tsx:107,string literal,src/components/credentials/CredentialQueueTable.tsx:107
ታግዷል,Suspended,1,src/hooks/useReportsAggregate.ts:35,string literal,src/hooks/useReportsAggregate.ts:35
ትምህርት,Education,1,src/routes/woreda.residents.$residentId.index.tsx:525,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.index.tsx:525
ትምህርትና ሙያ,Education & Occupation,1,src/routes/woreda.residents.$residentId.print.tsx:288,titleAm/titleEn prop pair,src/routes/woreda.residents.$residentId.print.tsx:288
ትክክለኛ የቤት ኪራይ ዋጋ ያስገቡ,Enter valid rent amount,1,src/routes/woreda.rental-houses.occupants.new.tsx:325,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:325
ትክክለኛ የቤት ኪራይ ዋጋ ያስገቡ,Enter a valid rent amount,1,src/routes/woreda.rental-houses.occupants.new.tsx:426,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:426
ኃላፊው ካልተመዘገበ ቀደም ብሎ ይመዝግቡ,Register the head first if not yet in the system,1,src/components/forms/HouseholdFormFields.tsx:215,string literal,src/components/forms/HouseholdFormFields.tsx:215
ኃይማኖት ይምረጡ,Select religion,1,src/lib/residentSchema.ts:34,string literal,src/lib/residentSchema.ts:34
ነዋሪ አስተካክል,Edit Resident,1,src/routes/woreda.residents.$residentId.edit.tsx:287,titleAm/titleEn prop pair,src/routes/woreda.residents.$residentId.edit.tsx:287
ነዋሪ ይምረጡ ወይም የአመልካቹን ስም ያስገቡ,Pick a resident or enter the applicant name,1,src/routes/woreda.services.new.tsx:170,string literal,src/routes/woreda.services.new.tsx:170
ነዋሪው ተመዝግቧል,Resident registered,1,src/routes/woreda.residents.new.tsx:123,toast: success,src/routes/woreda.residents.new.tsx:123
ነዋሪው ተሻሻለ,Resident updated,1,src/routes/woreda.residents.$residentId.edit.tsx:253,toast: success,src/routes/woreda.residents.$residentId.edit.tsx:253
ነዋሪዎች,Residents,1,src/routes/woreda.residents.index.tsx:370,titleAm/titleEn prop pair,src/routes/woreda.residents.index.tsx:370
ነዋሪዎች በቀበሌ,Residents by kebele,1,src/routes/woreda.reports.index.tsx:345,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:345
ንቁ ቤተሰቦች,Active Households,1,src/routes/woreda.dashboard.tsx:247,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:247
ንኡስ ወረዳ,Sub-Woreda,1,src/components/forms/ResidentWizardSteps.tsx:614,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:614
ንዑስ ወረዳ,Sub-Woreda,1,src/components/forms/HouseholdFormFields.tsx:171,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:171
አሁን,just now,1,src/routes/woreda.residents.$residentId.index.tsx:967,string literal,src/routes/woreda.residents.$residentId.index.tsx:967
አልተቀየረም,The credential was not activated — it may have been changed by someone else,1,src/routes/woreda.credentials.$requestId.index.tsx:2369,string literal,src/routes/woreda.credentials.$requestId.index.tsx:2369
አልተቀየረም,The card was activated but its request was not — please reopen and retry,1,src/routes/woreda.credentials.$requestId.index.tsx:2406,string literal,src/routes/woreda.credentials.$requestId.index.tsx:2406
አርማ,Logo,1,src/routes/woreda.settings.woreda-configuration.tsx:389,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:389
አስቸኳይ,Urgent,1,src/lib/serviceConstants.ts:28,string literal,src/lib/serviceConstants.ts:28
አባላት,Members,1,src/routes/woreda.households.index.tsx:199,string literal,src/routes/woreda.households.index.tsx:199
አባት,Father,1,src/routes/woreda.civil.$eventId.tsx:590,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:590
አባት (የተመዘገበ),Father (registered resident),1,src/routes/woreda.civil.birth.new.tsx:373,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:373
አያያዝ ሁኔታ,Occupancy Status,1,src/components/forms/HouseholdFormFields.tsx:158,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:158
አያያዝ ሁኔታ ይምረጡ,Select occupancy status,1,src/lib/householdSchema.ts:10,string literal,src/lib/householdSchema.ts:10
አይነት,Type,1,src/routes/woreda.rental-houses.requests.index.tsx:178,string literal,src/routes/woreda.rental-houses.requests.index.tsx:178
አዲስ,New Issue,1,src/routes/woreda.credentials.$requestId.index.tsx:89,string literal,src/routes/woreda.credentials.$requestId.index.tsx:89
አዲስ መታወቂያ ጥያቄ ፎቶ ይፈልጋል፣ ከመስመር ውጭ ሆኖ ማስገባት አይቻልም,A new-issue request needs a photo and cannot be queued offline,1,src/routes/woreda.credentials.new.tsx:424,string literal,src/routes/woreda.credentials.new.tsx:424
አዲስ ቤተሰብ ምዝገባ,New Household Registration,1,src/routes/woreda.households.new.tsx:154,titleAm/titleEn prop pair,src/routes/woreda.households.new.tsx:154
አዲስ ነዋሪ ምዝገባ,Register a new resident,1,src/routes/woreda.residents.new.tsx:135,titleAm/titleEn prop pair,src/routes/woreda.residents.new.tsx:135
አዲስ የልደት ምዝገባ,New Birth Registration,1,src/routes/woreda.civil.birth.new.tsx:270,titleAm/titleEn prop pair,src/routes/woreda.civil.birth.new.tsx:270
አዲስ የመታወቂያ ጥያቄ,New Credential Request,1,src/routes/woreda.credentials.new.tsx:593,titleAm/titleEn prop pair,src/routes/woreda.credentials.new.tsx:593
አዲስ የሞት ምዝገባ,New Death Registration,1,src/routes/woreda.civil.death.new.tsx:198,titleAm/titleEn prop pair,src/routes/woreda.civil.death.new.tsx:198
አዲስ የኪራይ ቤት ምዝገባ,Register New Rental House,1,src/routes/woreda.rental-houses.new.tsx:114,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.new.tsx:114
አዲስ የጋብቻ ምዝገባ,New Marriage Registration,1,src/routes/woreda.civil.marriage.new.tsx:202,titleAm/titleEn prop pair,src/routes/woreda.civil.marriage.new.tsx:202
አዲስ የፍቺ ምዝገባ,New Divorce Registration,1,src/routes/woreda.civil.divorce.new.tsx:210,titleAm/titleEn prop pair,src/routes/woreda.civil.divorce.new.tsx:210
አድራሻ,Address Line,1,src/components/forms/HouseholdFormFields.tsx:145,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:145
አድራሻ,Contact & Residence,1,src/routes/woreda.residents.$residentId.print.tsx:252,titleAm/titleEn prop pair,src/routes/woreda.residents.$residentId.print.tsx:252
አድራሻ እና ግንኙነት,Contact,1,src/routes/woreda.settings.woreda-configuration.tsx:345,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:345
አገልግሎቱን ይምረጡ,Select a service type,1,src/routes/woreda.services.new.tsx:167,string literal,src/routes/woreda.services.new.tsx:167
አገልግሎት,Service type,1,src/components/services/ServiceRequestList.tsx:431,string literal,src/components/services/ServiceRequestList.tsx:431
አገናኝ ተቀድቷል,Link copied,1,src/routes/woreda.residents.$residentId.index.tsx:348,toast: success,src/routes/woreda.residents.$residentId.index.tsx:348
እስካሁን የተመዘገበ ቤተሰብ የለም,No households registered yet,1,src/routes/woreda.households.index.tsx:405,labelAm/labelEn prop pair,src/routes/woreda.households.index.tsx:405
እስካሁን የተመዘገበ ነዋሪ የለም,No residents registered yet,1,src/routes/woreda.residents.index.tsx:500,labelAm/labelEn prop pair,src/routes/woreda.residents.index.tsx:500
እባክዎ ሁሉንም አስፈላጊ መስኮች ይሙሉ,Please fill in all required fields,1,src/lib/errorMessages.ts:49,string literal,src/lib/errorMessages.ts:49
እናት,Mother,1,src/routes/woreda.civil.$eventId.tsx:573,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:573
እናት (የተመዘገበች),Mother (registered resident),1,src/routes/woreda.civil.birth.new.tsx:356,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:356
እንቅስቃሴ ስለሌለ በቅርቡ ከስርዓቱ ይወጣሉ,You,1,src/components/layout/WoredaShell.tsx:115,string literal,src/components/layout/WoredaShell.tsx:115
እንቅስቃሴ ስለሌለ ከስርዓቱ ወጥተዋል,Signed out due to inactivity,1,src/components/layout/WoredaShell.tsx:117,string literal,src/components/layout/WoredaShell.tsx:117
እንደገና ለክለሳ ተልኳል,Resubmitted,1,src/routes/woreda.civil.$eventId.tsx:471,toast: success,src/routes/woreda.civil.$eventId.tsx:471
ኦዲት መዝገብ,Audit Trail,1,src/routes/woreda.audit.tsx:346,titleAm/titleEn prop pair,src/routes/woreda.audit.tsx:346
ከ5MB በላይ,File larger than 5MB,1,src/routes/woreda.services.$requestId.index.tsx:371,toast: error,src/routes/woreda.services.$requestId.index.tsx:371
ከመስመር ውጭ ነዎት,You are offline,1,src/hooks/useOfflineGuard.ts:14,string literal,src/hooks/useOfflineGuard.ts:14
ከፋይ,Paid by,1,src/routes/verify.receipt.$token.tsx:136,labelAm/labelEn prop pair,src/routes/verify.receipt.$token.tsx:136
ከፍተኛ,High,1,src/lib/serviceConstants.ts:27,string literal,src/lib/serviceConstants.ts:27
ኩነት,Civil event,1,src/routes/woreda.approvals.tsx:40,string literal,src/routes/woreda.approvals.tsx:40
ኪራይ,Rental,1,src/routes/woreda.approvals.tsx:41,string literal,src/routes/woreda.approvals.tsx:41
ኪራይ,Rent,1,src/routes/woreda.rental-houses.requests.index.tsx:184,string literal,src/routes/woreda.rental-houses.requests.index.tsx:184
ኪራይ በግለሰብ,Rented Private,1,src/routes/woreda.households.index.tsx:343,string literal,src/routes/woreda.households.index.tsx:343
ኪራይ የጀመረበት ቀን,Rent Start Date,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:321,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:321
ካልተመዘገበ ስም እዚህ ያስገቡ,Enter here if not a registered resident,1,src/routes/woreda.civil.death.new.tsx:223,string literal,src/routes/woreda.civil.death.new.tsx:223
ካልተመዘገበች እናት ስም እዚህ ያስገቡ,Enter here if mother is not a registered resident,1,src/routes/woreda.civil.birth.new.tsx:368,string literal,src/routes/woreda.civil.birth.new.tsx:368
ካርታውን ይንኩ ወይም ምልክቱን ይጎትቱ የቤቱን ትክክለኛ መገኛ ለማመልከት,Tap the map or drag the marker to mark the exact house location,1,src/components/forms/HouseholdFormFields.tsx:182,string literal,src/components/forms/HouseholdFormFields.tsx:182
ካርዱ አስቀድሞ ታትሟል,This card is already printed — confirm it instead,1,src/routes/woreda.credentials.$requestId.print.tsx:612,toast: error,src/routes/woreda.credentials.$requestId.print.tsx:612
ኬንትሮስ,Longitude,1,src/components/forms/ResidentWizardSteps.tsx:620,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:620
ኬክሮስ,Latitude,1,src/components/forms/ResidentWizardSteps.tsx:617,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:617
ክሊራንስ ደብዳቤ ተጭኗል,Clearance letter uploaded,1,src/components/forms/ResidentWizardSteps.tsx:305,toast: success,src/components/forms/ResidentWizardSteps.tsx:305
ክብደት (ኪ.ግ),Weight (kg),1,src/routes/woreda.civil.birth.new.tsx:399,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:399
ክፍል,Entity,1,src/routes/woreda.audit.tsx:288,string literal,src/routes/woreda.audit.tsx:288
ክፍት,Vacant,1,src/hooks/useReportsAggregate.ts:45,string literal,src/hooks/useReportsAggregate.ts:45
ክፍያ (ETB),Fee Amount,1,src/routes/woreda.settings.woreda-configuration.tsx:1123,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1123
ክፍያ በመጠባበቅ ላይ,Awaiting Payment,1,src/routes/woreda.civil.index.tsx:56,string literal,src/routes/woreda.civil.index.tsx:56
ክፍያ በጥበቃ,Awaiting Payment,1,src/components/credentials/CredentialQueueTable.tsx:105,string literal,src/components/credentials/CredentialQueueTable.tsx:105
ክፍያ በጥበቃ,Awaiting payment,1,src/lib/serviceConstants.ts:15,string literal,src/lib/serviceConstants.ts:15
ክፍያ ተመዝግቧል,Payment recorded for ${req.request_number},1,src/lib/offlineSync.ts:331,string literal,src/lib/offlineSync.ts:331
ክፍያ ተመዝግቧል,Payment recorded,1,src/routes/woreda.services.$requestId.index.tsx:354,string literal,src/routes/woreda.services.$requestId.index.tsx:354
ክፍያ የማይጠይቅ ጥያቄ,This request has no fee,1,src/routes/woreda.services.$requestId.index.tsx:311,toast: error,src/routes/woreda.services.$requestId.index.tsx:311
ክፍያው ሊመዘገብ አልቻለም,Payment was collected but the event could not be marked paid — the event may have been moved by someone else. Contact an administrator before recording another payment.,1,src/routes/woreda.civil.$eventId.tsx:1254,string literal,src/routes/woreda.civil.$eventId.tsx:1254
ክፍያው ሊመዘገብ አልቻለም,Payment was collected but the request could not be marked paid — the request may have been moved by someone else. Contact an administrator before recording another payment.,1,src/routes/woreda.services.$requestId.index.tsx:1236,string literal,src/routes/woreda.services.$requestId.index.tsx:1236
ክፍያው ሊጠየቅ አልቻለም,Could not raise the fee — the event may have been moved by someone else,1,src/routes/woreda.civil.$eventId.tsx:1203,string literal,src/routes/woreda.civil.$eventId.tsx:1203
ክፍያው ተስተካክሏል,Fee updated,1,src/routes/woreda.settings.woreda-configuration.tsx:1406,toast: success,src/routes/woreda.settings.woreda-configuration.tsx:1406
ኮድ,Code,1,src/routes/woreda.settings.woreda-configuration.tsx:1103,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1103
ወሊድ የተከታተለው,Attended by,1,src/routes/woreda.civil.birth.new.tsx:396,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:396
ወረዳ,Tenant,1,src/components/admin/PlatformUsersTab.tsx:211,string literal,src/components/admin/PlatformUsersTab.tsx:211
ወረዳ መረጃ,Woreda Profile,1,src/routes/woreda.settings.woreda-configuration.tsx:299,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:299
ወረዳ አልተገኘም,Woreda not found in session,1,src/routes/woreda.residents.new.tsx:102,toast: error,src/routes/woreda.residents.new.tsx:102
ወረፋው ንጹህ ነው,Nothing is waiting for your action,1,src/routes/woreda.approvals.tsx:179,labelAm/labelEn prop pair,src/routes/woreda.approvals.tsx:179
ወርሃዊ ኪራይ (መደበኛ),Monthly Rent (Standard),1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:240,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:240
ወቅቱ ያለፋቸው,Expired Credentials,1,src/routes/woreda.dashboard.tsx:291,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:291
ወደ ተከፍሏል ሊዘዋወር አልቻለም,Could not move the request to paid — it may have been moved by someone else. The payment was recorded; contact an administrator to reconcile.,1,src/lib/offlineSync.ts:288,string literal,src/lib/offlineSync.ts:288
ውድቅ,Rejected,1,src/routes/woreda.civil.index.tsx:60,string literal,src/routes/woreda.civil.index.tsx:60
ዓ.ም,Year,1,src/components/common/EthiopianDateInput.tsx:119,placeholder,src/components/common/EthiopianDateInput.tsx:119
ዓይነት,Payment type,1,src/routes/verify.receipt.$token.tsx:131,labelAm/labelEn prop pair,src/routes/verify.receipt.$token.tsx:131
ዕለታዊ ገቢ,Today,1,src/routes/woreda.dashboard.tsx:283,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:283
ዝምድና,Relation to Child,1,src/routes/woreda.civil.birth.new.tsx:418,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:418
ዝምድና,Relation to Deceased,1,src/routes/woreda.civil.death.new.tsx:279,labelAm/labelEn prop pair,src/routes/woreda.civil.death.new.tsx:279
ዝምድና ከቤተሰብ ኃላፊ ጋር,Relation to Household Head,1,src/components/forms/ResidentWizardSteps.tsx:611,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:611
ዝቅተኛ,Low,1,src/lib/serviceConstants.ts:25,string literal,src/lib/serviceConstants.ts:25
የልደት ምዝገባ ተልኳል,Birth registration submitted,1,src/routes/woreda.civil.birth.new.tsx:234,toast: success,src/routes/woreda.civil.birth.new.tsx:234
የልደት ቀን,DOB,1,src/routes/woreda.residents.index.tsx:275,string literal,src/routes/woreda.residents.index.tsx:275
የልጅ መረጃ,Child Information,1,src/routes/woreda.civil.birth.new.tsx:280,titleAm/titleEn prop pair,src/routes/woreda.civil.birth.new.tsx:280
የልጅ ሙሉ ስም,Child Name,1,src/routes/woreda.civil.$eventId.tsx:554,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:554
